Institution Name,Region,Institution Type,Country,Fiscal Year,Sub-Type
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Non-Japan Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,,,
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,,,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Asia,Central Banks / Official Institutions,,,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Asia,Central Banks / Official Institutions,,,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Non-Japan Asia,Central Banks / Official Institutions,,,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Australia,Central Banks / Official Institutions,,,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Non-Japan Asia,Central Banks / Official Institutions,,,
Central Bank of Phillipines (Bangko Sentral ng Pilipinas),Asia,Central Banks / Official Institutions,,,
Central Bank of Qatar (Qatar Central Bank),Middle East & Africa,Central Banks / Official Institutions,,,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,,,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,,,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,,,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,,,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,,,
Central Bank of Thailand (Bank of Thailand),Non-Japan Asia,Central Banks / Official Institutions,,,
Central Bank of Ukraine,Europe,Central Banks / Official Institutions,,,
Ceska Narodni Banka,Europe,Central Banks / Official Institutions,,,
Citibank,Australia,Banks / Corporates,,,
Citibank,Australia,Banks / Corporates,,,
Citibank,Europe,Banks / Corporates,,,
Citibank,Domestic,Banks / Corporates,,,
Citibank,Asia,Banks / Corporates,,,
Clariden,Europe,Asset Managers,,,
Colonial First State,Australia,Asset Managers,,,
Colonial First State,Domestic,Asset Managers,,,
