Institution Name,Region,Institution Type,Country,Fiscal Year,Sub-Type
Kbc Bank NV ,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
"L.J. Wells Capital Management, LLC",Americas,Asset Managers / Pension / Insurance,USD,FY16,
Lind Capital Fondsmglerselskab AS,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Lloyds TSB Bank Plc,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Magna Asset Management,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Mapfre Inversion Sociedad De Valores,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Pictet & Cie.,Europe,Asset Managers / Pension / Insurance,USD,FY16,
Rabobank ,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
Bank of New York Mellon,Americas,Banks / Corporates,USD,FY16,Bank Treasuries
Seattle Northwest Asset Management LLC,Americas,Asset Managers / Pension / Insurance,USD,FY16,
SRS Wealth Management,Americas,Asset Managers / Pension / Insurance,USD,FY16,
St. Paul Companies Inc,Americas,Banks / Bank Treasuries / Corporates,USD,FY16,
"Summit Securities Group, LLC",Americas,Asset Managers / Pension / Insurance,USD,FY16,
SWEDBANK AB,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank
The Bank of Korea (APAC),Asia,Central Banks / Official Institutions,USD,FY16,
The Bank of Korea (APAC),Asia,Central Banks / Official Institutions,USD,FY16,
UBS AG,Europe,Banks / Bank Treasuries / Corporates,USD,FY16,Bank Treasuries
UBS GLOBAL ASSET MANAGEMENT (UK) LTD. (SYID UBSGAMUK 999662987),Europe,Asset Managers / Pension / Insurance,USD,FY16,
xxx,Asia,Central Banks / Official Institutions,USD,FY16,
xxx,Asia,Central Banks / Official Institutions,USD,FY16,
xxx,Asia,Central Banks / Official Institutions,USD,FY16,
xxx,Asia,Central Banks / Official Institutions,USD,FY17,
xxx,Asia,Central Banks / Official Institutions,USD,FY17,
Wharton,Europe,Asset Managers,USD,FY17,
Bank of New York Mellon,North America,Banks / Corporates,USD,FY14,Bank Treasuries
Bank of Nova Scotia (Toronto),Americas,Banks / Bank Treasuries / Corporates,USD,FY15,Bank Treasuries
True North Partners LLC,Americas,Asset Managers,USD,FY17,
The Okazaki Shinkin Bank,Asia,Banks / Corporates,USD,FY17,Bank Treasuries
Barclays,Americas,Banks / Corporates,USD,FY12,Bank Treasuries
Swiss National Bank,Europe,Central Banks / Official Institutions,USD,FY17,
Swiss Investment Corporation Ltd,Europe,Asset Managers,USD,FY17,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY17,
Shinkin,Asia,Asset Managers,USD,FY17,
Shikoku Bank Ltd (Kochi),Asia,Banks / Corporates,USD,FY17,Bank Treasuries
Royal Bank of Scotland Plc (London 135 Bishopsgate),Europe,Banks / Corporates,USD,FY17,Bank Treasuries
Robeco Groep NV,Europe,Asset Managers,USD,FY17,
Raiffeisen Bank International AG (Vienna),Europe,Bank/Bank Treasuries/Corporates,USD,FY17,Bank
Nomura Asset Mgmt Co Ltd,Asia,Asset Managers,USD,FY17,
Neuberger Berman Fixed Income LLC,Americas,Asset Managers,USD,FY17,
NBF,Ex-US Americas,Banks / Corporates,USD,FY17,Bank Treasuries
Millennium - SBRL,Americas,Asset Managers,USD,FY17,
"Merrion Private Wealth, Dublin",Europe,Asset Managers,USD,FY17,
Meitav Dash Investments Ltd,Europe,Asset Managers,USD,FY17,
Maxim International Ltd.,Americas,Asset Managers,USD,FY17,
"Mariner Investment Group, LLC",Americas,Asset Managers,USD,FY17,
Magna,Americas,Asset Managers,USD,FY17,
L.J. Wells Capital Management LLC,Americas,Asset Managers,USD,FY17,
Kuwait Investment Office (KIO),Middle Eeast / Africa,Asset Managers,USD,FY17,
KLS Diversified Asset Management LP,Americas,Asset Managers,USD,FY17,
KBC Bank NV (Bruxelles),Europe,Banks / Corporates,USD,FY17,Bank Treasuries
Intesa Saopaolo NY,Europe,Banks / Corporates,USD,FY17,Bank Treasuries
Industrial and Commercial Bank of China (Beijing),Asia,Banks / Corporates,USD,FY17,Bank Treasuries
Hambros,Europe,Banks / Corporates,USD,FY17,Bank Treasuries
Goldman Sachs Trading,Europe,Banks / Corporates,USD,FY17,Bank
Fukoku Mutual Life Insurance Company,Asia,Pension / Insurance,USD,FY17,
Florida State Board of Administration,Americas,Central Banks / Official Institutions,USD,FY17,Public
First International Bank of Israel,Europe,Banks / Corporates,USD,FY17,Bank
Fidelity Management & Research Company,Americas,Asset Managers,USD,FY17,
European Central Bank,Europe,Central Banks / Official Institutions,USD,FY17,
Element Capital Management LLC,Americas,Asset Managers,USD,FY17,
Donner & Reuschel Aktiengesellschaft,Europe,Bank/Bank Treasuries/Corporates,USD,FY17,Bank
DNB Bank ASA,Europe,Banks / Corporates,USD,FY17,Bank
Dlibj Asset Mgmt USA,Americas,Asset Managers,USD,FY17,
Deutsche Asset & Wealth Management Investment GmbH,Europe,Asset Managers,USD,FY17,
DB Trading,Europe,Banks / Corporates,USD,FY17,Bank
Central Bank of Czech Republic,Europe,Central Banks / Official Institutions,USD,FY17,
Central Bank of China ,Asia,Central Banks / Official Institutions,USD,FY17,
Barclays ,Americas,Banks / Bank Treasuries / Corporates,USD,FY15,Bank Treasuries
BNP Trading,Europe,Banks / Corporates,USD,FY17,Bank
BlackRock Financial Management,Americas,Asset Managers,USD,FY17,
Banque Degroof SA,Europe,Bank / Bank Treasuries /Corporates,USD,FY17,Bank
Banque Degroof Luxemburg SA (Luxembourg),Europe,Bank / Bank Treasuries /Corporates,USD,FY17,Bank
Banque de France,Europe,Central Banks / Official Institutions,USD,FY17,
Bankhaus Lampe KG (Bielefeld),Europe,Bank / Bank Treasuries /Corporates,USD,FY17,Bank
"Bank of Yokohama Ltd, The (Yokohama)",Asia,Bank / Bank Treasuries /Corporates,USD,FY17,Bank Treasuries
Bank of Kyoto Ltd.,Asia,Bank / Bank Treasuries /Corporates,USD,FY17,Bank Treasuries
Central Bank of Canada (Bank of Canada),Ex-US Americas,Central Banks / Official Institutions,USD,FY17,
Banco L.J. Carregosa,Europe,Bank / Bank Treasuries /Corporates,USD,FY17,Bank
Banca Sella Spa (Biella),Europe,Bank / Bank Treasuries /Corporates,USD,FY17,Bank
Deutsche Asset Management Americas (DWS Investments),Europe,Asset Managers,USD,FY09,
JP Morgan,Europe,Bank / Bank Treasuries /Corporates,USD,FY09,Bank Treasuries
T ROWE PRICE,Americas,Asset Managers,USD,FY09,
Western Asset Management Company (WAMCO),Americas,Asset Managers,USD,FY09,
Alexion Pharmaceuticals Inc,Americas,Bank / Bank Treasuries /Corporates,USD,FY15,
Banca Akros ,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank
Banca della Svizzera (BSI),Europe,Asset Managers/ Pension / Insurance,USD,FY15,
bankinter distribution,Europe,Asset Managers/ Pension / Insurance,USD,FY15,
Banque Degroof ,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank
Banque Syz,Europe,Asset Managers/ Pension / Insurance,USD,FY15,
Blackrock,Americas,Asset Managers/ Pension / Insurance,USD,FY15,
BNP Paribas,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank Treasuries
Central Bank of Algeria,Middle East and Africa,Central Banks / Official Institutions,USD,FY15,
Central Bank of Brazil,Americas,Central Banks / Official Institutions,USD,FY15,
Central Bank of Dominican Republic,Americas,Central Banks / Official Institutions,USD,FY15,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY15,
Central Bank of Peru,Americas,Central Banks / Official Institutions,USD,FY15,
Central Bank of Poland (National Bank of Poland),Europe,Central Banks / Official Institutions,USD,FY15,
Central Bank of Serbia,Europe,Central Banks / Official Institutions,USD,FY15,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,USD,FY15,
Central Bank of Tanzania (Bank of Tanzania),Middle East and Africa,Central Banks / Official Institutions,USD,FY15,
Ceska Narodni Banka ,Europe,Central Banks / Official Institutions,USD,FY15,
CREDIT AGRICOLE AM,Europe,Asset Managers/ Pension / Insurance,USD,FY15,
Development Bank of Singapore (DBS),Asia,Bank / Bank Treasuries /Corporates,USD,FY15,Bank Treasuries
Ensign Peak Advisors,Americas,Asset Managers/ Pension / Insurance,USD,FY15,
Export Development Corporation of Canada,Americas,Central Banks / Official Institutions,USD,FY15,
Florida State Board of Administration,Americas,Central Banks / Official Institutions,USD,FY15,
Ford Motor Company,Asia,Bank / Bank Treasuries /Corporates,USD,FY15,
BBVA AM,Europe,Banks / Corporates,USD,FY16,Bank Treasuries
KBC Bank NV,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank
Magna Asset Management,Europe,Asset Managers/ Pension / Insurance,USD,FY15,
Morgan Stanley,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank
Nationwide Buidling Society,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank Treasuries
Oesterreichische Volksbanken AG,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank Treasuries
Payden & Rygel,Americas,Asset Managers/ Pension / Insurance,USD,FY15,
Pinebridge Investments ,Asia,Asset Managers/ Pension / Insurance,USD,FY15,
Rabobank ,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank Treasuries
Saudi Arabian Monetary Agency (SAMA),Middle East and Africa,Central Banks / Official Institutions,USD,FY15,
SCOR GLOBAL INVESTMENTS ,Europe,Asset Managers/ Pension / Insurance,USD,FY15,
Templeton Global Advisors Limited,Americas,Asset Managers/ Pension / Insurance,USD,FY15,
The Bank of Korea (APAC),Asia,Central Banks / Official Institutions,USD,FY15,
UBS,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank Treasuries
V&P Bank Liechtenstein,Europe,Bank / Bank Treasuries /Corporates,USD,FY15,Bank
Vanguard ,Americas,Asset Managers/ Pension / Insurance,USD,FY15,
xxx,Asia,Central Banks / Official Institutions,USD,FY15,
xxx,Asia,Central Banks / Official Institutions,USD,FY15,
Aberdeen Asset Management ,Europe,Asset Managers,USD,FY14,
Baloise Holding (Insurance),Europe,Insurance / Pension,USD,FY14,
Bank Vontobel ,Europe,Banks / Corporates,USD,FY14,Bank
Banque Profile de Gestion,Europe,Banks / Corporates,USD,FY14,Bank
Bayerische Versorgungskammer,Europe,Insurance / Pension,USD,FY14,
Blackrock,Americas,Asset Managers,USD,FY14,
Central Bank of Algeria,Middle East & Africa,Central Banks / Official Institutions,USD,FY14,
Central Bank of Bangladesh,Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Botswana (Bank of Botswana),Middle East & Africa,Central Banks / Official Institutions,USD,FY14,
Central Bank of China,Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Estonia (Bank of Estonia),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Serbia,Europe,Central Banks / Official Institutions,USD,FY14,
Chubb Insurance,Americas,Insurance / Pension,USD,FY14,
Credit Suisse Asset Mgmt.,Europe,Asset Managers,USD,FY14,
Deutsche Asset Management Americas (DWS Investments),Americas,Asset Managers,USD,FY14,
GREAT-WEST LIFE & ANNUITY INSURANCE COMPANY,Americas,Insurance / Pension,USD,FY14,
HSBC,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
HSBC,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
JP Morgan,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
Magna Asset Management,Middle East & Africa,Asset Managers,USD,FY14,
MALAYAN BANKING BERHAD ,Asia,Banks / Corporates,USD,FY14,Bank Treasuries
New York State Insurance,Americas,Insurance / Pension,USD,FY14,
Nikko AM,Asia,Asset Managers,USD,FY14,
Nomura AM,Asia,Asset Managers,USD,FY14,
Pictet & Cie.,Europe,Asset Managers,USD,FY14,
SCHWEIZERISCHE MOBILIAR VERSICHERUNGSGES,Europe,Insurance / Pension,USD,FY14,
Swatch,Europe,Banks / Corporates,USD,FY14,
Swiss Canto AM,Europe,Asset Managers,USD,FY14,
Travelers,Americas,Insurance / Pension,USD,FY14,
UBS,Europe,Asset Managers,USD,FY14,Bank Treasuries
UBS,Europe,Banks / Corporates,USD,FY14,Bank Treasuries
Vanguard,Americas,Asset Managers,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
Alaska Permanent Fund Corporation,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
ASAHI MUTUAL LIFE INSURANCE,Asia,Insurance / Pension,USD,FY14,
Australia and New Zealand Banking Group (ANZ),Asia,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
Banca Profilo,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Banco Santander,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Bank for International Settlements (BIS),Europe,Central Banks / Official Institutions,USD,FY14,
Bank of Montreal,Americas,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
Banque Degroof ,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Banque et Caisse d'Epargne de l'Etat (BCEE) ,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Barclays Treasury,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
BHF-Bank AG,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Blackrock,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Blackrock,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Catle Harbour Securities,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Central Bank of China,Asia,Bank/ Bank Treasuries/ Corporates,USD,FY14,Bank
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Luxembourg,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of the Russian Federation,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Spain,Europe,Central Banks / Official Institutions,USD,FY14,
BEAR STEARNS,Americas,Banks / Corporates,USD,FY10,Bank Treasuries
DB Treasury,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
DB Treasury,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
Deutsche Asset Management Americas (DWS Investments),Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Deutsche Asset Management Americas (DWS Investments),Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Dinosaur Securities ,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
DNB BANK ASA - OSLO,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Donner & Reuschel Aktien Gesellschaft,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Donner & Reuschel Aktien Gesellschaft,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Emirates Bank International,Middle East and Africa,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Fidelity,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Fidelity,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
FRANKFURT TRUST ,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
JCI A.M.,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
JYSKE BANK,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
KBC Bank NV,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
LCF Rothschild Securities ,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Louisiana Workers Comp,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Magna Asset Management,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
MERRION STOCKBROKERS LIMITED,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,
Millennium Partners ,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Mint Partners UK,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,
National Bank of Abu Dhabi,Middle East and Africa,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Neuberger & Berman,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
New York State Insurance Fund,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
NISSAY ASSET MANAGEMENT CORPORATION ,Asia,Asset Managers/ Pension / Insurance,USD,FY14,
NORDDEUTSCHE LANDESBANK GIROZENTRALE - HANNOVER,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
Northern Trust ,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Pictet & Cie.,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Piedmont Investment Adv,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
PRAMERICA INVESTMENT MANAGEMENT - NEWARK,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
S & A FINANCIALS LTD.,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,
State of Washington ,Americas,Central Banks / Official Institutions,USD,FY14,
SWEDBANK AB,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
SWISS RE AG - ZURICH,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
SYZ ASSET MANAGEMENT,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
TD Treasury,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
UBS Asset Management,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,
UBS Asset Management,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Union Bancaire Privee (UBP),Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Vanguard,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
Zurcher Kantonalbank,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
114 bank,Europe,Banks / Corporates,USD,FY11,
African Development Bank,Middle East & Africa,Central Banks / Official Institutions,USD,FY11,
Arab Banking Corporation,Middle East & Africa,Asset Managers,USD,FY11,
ARCH CAPITAL,Americas,Asset Managers,USD,FY11,
Banca della Svizzera (BSI),Europe,Banks / Corporates,USD,FY11,Bank
BANK JULIUS BAER & CO AG.,Europe,Banks / Corporates,USD,FY11,Bank
Bank Negara Malaysia,Asia,Central Banks / Official Institutions,USD,FY11,
Bank of Communications,Asia,Banks / Corporates,USD,FY11,Bank
BANK SARASIN,Europe,Banks / Corporates,USD,FY11,Bank
Bankhaus Lampe ,Europe,Banks / Corporates,USD,FY11,Bank
Berner Kantonalbank AG,Europe,Banks / Corporates,USD,FY11,Bank
BORDIER & CIE,Europe,Banks / Corporates,USD,FY11,
BRITISH ARAB COMMERCIAL BANK LTD,Europe,Banks / Corporates,USD,FY11,Bank
Central Bank of Canada (Bank of Canada),Americas,Central Banks / Official Institutions,USD,FY11,
Central Bank of Estonia (Bank of Estonia),Europe,Central Banks / Official Institutions,USD,FY11,
Central Bank of India (Reserve Bank of India),Europe,Central Banks / Official Institutions,USD,FY11,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY11,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY11,
Central Bank of India (Reserve Bank of India),Europe,Central Banks / Official Institutions,USD,FY11,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,USD,FY11,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,USD,FY11,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,USD,FY11,
Central Bank of Indonesia (Bank of Indonesia),Europe,Central Banks / Official Institutions,USD,FY11,
Central Bank of Jordan,Middle East & Africa,Central Banks / Official Institutions,USD,FY11,
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY11,
Central Bank of Latvia,Europe,Central Banks / Official Institutions,USD,FY11,
Central Bank of Turkey,Middle East & Africa,Central Banks / Official Institutions,USD,FY11,
Credit Suisse Asset Mgmt.,Europe,Asset Managers,USD,FY11,
Crown Agents Investment Management Limited (CAIM),Europe,Asset Managers,USD,FY11,
FALCON MONEY MANAGEMENT LLP,Europe,Asset Managers,USD,FY11,
JPMorgan Asset Management,Americas,Asset Managers,USD,FY11,
Kuwait Investment Office (KIO),Asia,Central Banks / Official Institutions,USD,FY11,
Lombard Odier,Europe,Banks / Corporates,USD,FY11,
Monetary Authority of Macau (AMCM),Asia,Central Banks / Official Institutions,USD,FY11,
Monetary Authority of Macau (AMCM),Europe,Central Banks / Official Institutions,USD,FY11,
National Bank of Moldova,Europe,Central Banks / Official Institutions,USD,FY11,
National Commercial Bank of Saudi Arabia,Asia,Banks / Corporates,USD,FY11,Bank
Petercam,Middle East & Africa,Asset Managers,USD,FY11,
PKB PRIVATBANK AG,Europe,Asset Managers,USD,FY11,
RBC,Europe,Banks / Corporates,USD,FY11,Bank Treasuries
Saudi Arabian Monetary Agency (SAMA),Middle East & Africa,Central Banks / Official Institutions,USD,FY11,
SG PRIVATE BANKING (SUISSE) SA,Europe,Asset Managers,USD,FY11,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY11,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY11,
State Administration of Foreign Exchange (SAFE),Asia,Central Banks / Official Institutions,USD,FY11,
#REF!,Europe,Asset Managers,USD,FY11,
The Vatican,Europe,Central Banks / Official Institutions,USD,FY11,
Threadneedle Asset Management Ltd.,Europe,Asset Managers,USD,FY11,
Union Bancaire Privee (UBP),Europe,Asset Managers,USD,FY11,
BMO Account X 3,North America,Banks / Corporates,USD,FY14,Bank Treasuries
xxx,Asia,Central Banks / Official Institutions,USD,FY11,
xxx,Asia,Central Banks / Official Institutions,USD,FY11,
Zurcher Kantonalbank,Europe,Banks / Corporates,USD,FY11,Bank
AIG Asset Management ,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
AP3,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Apple Inc,Americas,Private Banks / Bank Treasuries /Corporates,USD,FY14,
Bank for International Settlements (BIS),Europe,Central Banks / Official Institutions,USD,FY14,
Bank Vontobel ,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Banque Degroof ,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Banque et Caisse d'Epargne de l'Etat (BCEE) ,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
BRITISH ARAB COMMERCIAL BANK LTD,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
BROOKS MACDONALD FINANCIAL CONSULTING,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Central Bank of Albania,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Algeria,Middle East and Africa,Central Banks / Official Institutions,USD,FY14,
Central Bank of Finland (Bank of Finland),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of India (Reserve Bank of India),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Mexico,Americas,Central Banks / Official Institutions,USD,FY14,
Central Bank of the Russian Federation,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Serbia,Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Sri Lanka,Asia,Central Banks / Official Institutions,USD,FY14,
CHILTON INVESTMENT COMPANY INC,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
DBAM,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Deutsche Asset Management Americas (DWS Investments),Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Deutsche Bank ,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
Dinosaur Securities ,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Ford Motor Company,Americas,Private Banks / Bank Treasuries /Corporates,USD,FY14,
Central Bank of Ghana,Middle East and Africa,Central Banks / Official Institutions,USD,FY14,
GULF INTERNATIONAL BANK BSC,Middle East and Africa,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
KBC Bank NV,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
LCF Rothschild Securities ,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Leonteq,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
Magna Asset Management,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
MERRION STOCKBROKERS LIMITED,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
National Bank Financial,Americas,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
National Bank of Abu Dhabi,Middle East and Africa,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
Neuberger & Berman,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
New York State Insurance Fund,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Northern Trust ,Americas,Asset Manager/Pension/Insurance Funds,USD,FY14,
Pfizer,Americas,Private Banks / Bank Treasuries /Corporates,USD,FY14,
Pinebridge Investments ,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
PUBLIC TRUST ADVISORS LLC,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
SOCIETE EUROPEENE DE BANQUE,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank
South Africa Reserve Bank,Middle East and Africa,Central Banks / Official Institutions,USD,FY14,
Sparkasse Pforzheim,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
SPEARPOINT LIMITED,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,
Standard Chartered Bank,Europe,Private Banks / Bank Treasuries /Corporates,USD,FY14,Bank Treasuries
Standish Mellon AM,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
STATE OF ARIZONA,Americas,Central Banks / Official Institutions,USD,FY14,
State of South Carolina ,Americas,Central Banks / Official Institutions,USD,FY14,
UBS Asset Management,Europe,Asset Managers/ Pension / Insurance,USD,FY14,
United Nations,Americas,Central Banks / Official Institutions,USD,FY14,
Vanguard,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
Vanguard,Americas,Asset Managers/ Pension / Insurance,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
xxx,Asia,Central Banks / Official Institutions,USD,FY14,
Alm Brands Bank,Europe,Banks / Corporates,USD,FY14,Bank
Balyasny Asset Management,Europe,Fund Managers,USD,FY14,
Bank for International Settlements (BIS),Europe,Central Banks / Official Institutions,USD,FY14,
Bank J. Safra Sarasin ,Europe,Banks / Corporates,USD,FY14,Bank
Bank of the Philippine Islands,Asia,Banks / Corporates,USD,FY14,Bank
Bankhaus Lampe,Europe,Banks / Corporates,USD,FY14,Bank
Central Bank of Algeria,Middle East & Africa,Central Banks / Official Institutions,USD,FY14,
Central Bank of Angola,Middle East & Africa,Central Banks / Official Institutions,USD,FY14,
Central Bank of Bangladesh,Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Finland (Bank of Finland),Europe,Central Banks / Official Institutions,USD,FY14,
Central Bank of Indonesia (Bank of Indonesia),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Korea (Bank of Korea),Asia,Central Banks / Official Institutions,USD,FY14,
Central Bank of Papua New Guinea (Bank of Papua New Guinea),Asia,Central Banks / Official Institutions,USD,FY14,
